,Word,Letter1,Letter2,Letter3,Letter4,Letter5,IsFeasible,ExpectedEntropy
2747,armed,-1.7353089715333898,-2.416287833594689,-3.134254861758424,0.0,-3.0420121869051027,1,-10.327863853791605
2496,aired,-1.7353089715333898,-2.4570916022811673,-2.4164418922575224,0.0,-2.8605225654403488,1,-9.469365031512428
2707,arced,-1.8856515729440193,-2.498308823483091,-2.38769166346535,0.0,-2.6187741567713223,1,-9.390426216663784
852,aider,-1.7353089715333898,-2.2953076410353814,-2.198930959848038,0.0,-2.85885179099881,1,-9.088399363415618
2386,acred,-1.8856515729440193,-2.1193034713978194,-2.551711637852227,0.0,-2.5126546565005023,1,-9.069321338694568
2744,arked,-1.7353089715333898,-2.0595781780599736,-2.3772977691402875,0.0,-2.7355193788047547,1,-8.907704297538405
2711,ardeb,-2.0284871570709417,-1.9838496612251675,-2.3504385949102193,0.0,-2.2471529188232675,1,-8.609928332029597
2492,aimer,-1.6310597618621043,-2.3625819090381825,-2.2263409766080775,0.0,-2.0663354505857563,1,-8.286318098094121
2593,ameer,-1.7353089715333898,-1.6410941786919055,-2.2989676077661554,0.0,-2.428311463649792,1,-8.103682221641241
2413,adred,-1.7353089715333898,-1.7661703766841776,-2.1264743198271514,0.0,-2.4211819777313104,1,-8.04913564577603
2398,adder,-1.5282204946989462,-1.6159760232281335,-1.7769693169970968,0.0,-2.7313474113529637,1,-7.65251324627714
2491,aimed,-1.2474303167384992,-2.0311603331520294,-1.876101173726308,0.0,-2.4014483226500203,1,-7.556140146266857
2774,arvee,-2.149485925202277,-1.4307288110084886,-1.7694359407030857,0.0,-1.8341587952507088,1,-7.18380947216456
70,agree,-1.8856515729440193,-1.4931028719701154,-2.064693403982552,0.0,-1.615791145219877,1,-7.059238994116564
2033,amber,-1.7353089715333896,-1.3454818553982764,-2.2557975849419947,0.0,-1.7110377803974672,1,-7.047626192271128
2503,aiver,-1.9423974483678335,-1.6005773491511184,-1.4841419227184738,0.0,-1.8130920529941714,1,-6.840208773231597
2757,arpen,-1.7814023632727338,-2.089499939591078,-1.5002753149221275,0.0,-1.4548501909660219,1,-6.826027808751961
2382,acned,-1.2474303167384992,-1.6242725206873259,-1.949525331196372,0.0,-1.9947532664272285,1,-6.815981435049425
2407,admen,-0.9069550641956148,-1.9037375699520984,-2.0312326774179787,0.0,-1.8507467141294447,1,-6.692672025695137
2748,armer,-1.6310597618621043,-1.4615684200300325,-1.985287619963414,0.0,-1.5319967852719003,1,-6.609912587127451
2497,airer,-1.6310597618621043,-1.958327998952803,-1.3183552380319743,0.0,-1.520806824167449,1,-6.428549823014331
2493,ainee,-1.4239712850276602,-1.8301918727423665,-1.488646955665725,0.0,-1.6586140359692725,1,-6.401424149405024
2646,anker,-1.423971285027661,-1.4412833269986969,-1.703439412426238,0.0,-1.832094764656183,1,-6.400788789108779
2401,adeem,-1.2736286836170312,-1.3586378210012888,-1.41933859227866,0.0,-2.162651460631085,1,-6.214256557528065
2483,aided,-1.2474303167384992,-1.6420620028550905,-1.1018269474250346,0.0,-2.1725418409528876,1,-6.1638611079715115
2190,anger,-1.423971285027661,-1.560814574731609,-1.5303952819572617,0.0,-1.6397281343895038,1,-6.154909276106035
2623,amped,-1.2474303167384992,-1.0830175197776797,-1.5675152911596861,0.0,-2.214945203752925,1,-6.11290833142879
2872,awner,-1.423971285027661,-1.1497476723085778,-1.3214763465499957,0.0,-1.8388146981938784,1,-5.7340100020801135
