,Word,Letter1,Letter2,Letter3,Letter4,Letter5,IsFeasible,ExpectedEntropy
1917,apnea,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,1,-6.488629458649619
66,panel,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
124,enema,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
201,banal,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
210,panic,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
284,nymph,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
331,canny,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
371,apron,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
375,input,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
386,pinto,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
523,piney,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
524,inept,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
531,fanny,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
581,funny,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
586,pagan,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
630,spawn,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
638,nanny,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
694,sunny,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
980,unzip,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
1115,snoop,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
1161,penne,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
1210,penal,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
1212,bunny,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
1273,spurn,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
1312,preen,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
1317,annoy,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
1347,pence,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
1485,pansy,0.0,-2.256475808320958,-1.9927284180071703,0.0,-2.2394252323214903,0,-6.488629458649619
