,Word,ExpectedEntropy,IsFeasible
1852,shout,4.442283319114561,1
11132,stoit,4.513638742802658,1
10536,shott,4.525645010603121,1
1006,hoist,4.6582308456551536,1
10762,sluit,4.662562025679969,1
65,stout,4.6794596576391125,1
11209,suint,4.727313803487764,1
1190,stint,4.7805052661090786,1
290,snout,4.794378537142301,1
1014,stilt,4.862133863345763,1
10935,souct,4.89474608913222,1
10792,smout,4.92035708129543,1
816,spout,4.925956197959427,1
1121,south,4.927574795733258,1
228,moist,4.9447640484467055,1
1200,shift,4.976087191269868,1
8209,moust,4.995943407086211,1
904,shunt,5.048103806459966,1
10508,shist,5.062633006287405,1
8244,muist,5.086955138676781,1
11143,stopt,5.1110296584036705,1
1349,shoot,5.151460765655231,1
614,spilt,5.222059476305906,1
5849,giust,5.235544392041187,1
1902,scout,5.2355669223205235,1
10787,smolt,5.246392258634243,1
11146,stott,5.262427873161449,1
11116,stimy,5.287552881132634,1
1217,stunt,5.297588761703586,1
10736,slipt,5.310556133872715,1
978,stony,5.327620514278975,1
1671,foist,5.3306904433664,1
12846,ytost,5.340601682610474,1
11147,stoun,5.349825521619865,1
10595,silty,5.3962205934766665,1
2090,smith,5.398109151178046,1
10559,sicht,5.501706370994013,1
10682,skint,5.511209230223327,1
3562,buist,5.555828659333143,1
496,sloth,5.577578609100023,1
1530,sooty,5.605844211268845,1
1806,sight,5.612845843938768,1
11066,squit,5.625357849309326,1
10820,snift,5.628340497673772,1
11148,stoup,5.633190123320439,1
10748,sloot,5.650962238755507,1
1863,split,5.6762347244600155,1
1036,posit,5.686471413778549,1
11036,spoot,5.703994151099022,1
10862,softy,5.733593759650973,1
10835,snoot,5.744873653625773,1
9594,quist,5.756077982034348,1
12939,zoist,5.75647225047882,1
717,ghost,5.768595750277968,1
6679,inust,5.7854443683281,1
11131,stogy,5.801450875602943,1
1211,joist,5.809984796724235,1
1271,joust,5.831118082903954,1
1406,stoic,5.834606488633028,1
11181,stylo,5.835988013387756,1
11109,stich,5.854901394757838,1
479,sooth,5.863957153796436,1
10789,smoot,5.877930966853631,1
11297,swopt,5.898462248173875,1
11289,swith,5.918206619676297,1
11133,stoln,5.9348405870109255,1
12532,whist,5.937982240556243,1
10631,situp,5.9407198445107765,1
10793,smowt,5.985870089350684,1
11124,stivy,5.990664105196581,1
8290,musit,6.0078251746204225,1
711,swift,6.079533971852102,1
14,stink,6.128839514950007,1
11180,styli,6.13152964502176,1
11136,stong,6.132471606483078,1
5991,gosht,6.145937545987934,1
493,sting,6.1531045181973045,1
5897,glost,6.162383863679129,1
1810,sixty,6.171278782537361,1
420,stomp,6.176426368339464,1
577,study,6.181616337613733,1
10305,scoot,6.18658150322706,1
11137,stonk,6.236958205586609,1
10957,sowth,6.2557728894040165,1
11150,stown,6.278919863735491,1
11135,stond,6.297754232593302,1
11170,stulm,6.321553566900134,1
8654,odist,6.363125603312698,1
8607,nutso,6.366208930091007,1
1520,sixth,6.391224992486373,1
837,stung,6.433952265782239,1
2238,stoop,6.449185010758454,1
8809,ovist,6.459027019421189,1
11028,spitz,6.468995454870936,1
4138,coost,6.472881737755909,1
11112,stilb,6.478370531701777,1
11151,stowp,6.48835653014917,1
10330,scuft,6.4928138068138965,1
1602,stump,6.506429161939999,1
2160,stunk,6.53389260566131,1
24,stool,6.54992304085408,1
12595,wisht,6.5616862280921495,1
3279,blist,6.575586065964543,1
11319,synth,6.57787213768083,1
197,boost,6.620128313411147,1
702,still,6.633588587511829,1
476,stick,6.677955206558509,1
8069,misty,6.697820450578312,1
11138,stonn,6.7036427447057445,1
10543,shtik,6.744346702909581,1
330,midst,6.7633102935098846,1
11139,stook,6.794170432689212,1
1330,stock,6.840666558573355,1
9340,potsy,6.844263541088065,1
10545,shtup,6.867920763363365,1
10544,shtum,6.886961121076438,1
8608,nutsy,6.9230063961613135,1
10933,sotol,6.925275702117354,1
919,stood,6.925450654100326,1
5391,fisty,6.966799703577358,1
565,stuck,6.979670744433038,1
11169,stull,7.033961152680354,1
1918,stiff,7.118947398176317,1
6130,gutsy,7.145526156012856,1
4644,ditsy,7.153258970933986,1
3236,bitsy,7.158304265096331,1
11171,stumm,7.2611077779679825,1
689,gusto,7.278348674933967,1
556,musty,7.316637633341786,1
12287,visto,7.326840351670594,1
88,lusty,7.445089903148749,1
2195,stuff,7.496044171881457,1
3624,busti,7.527542003630288,1
688,visit,7.544359389615324,1
589,gusty,7.554199277485363,1
11183,stymy,7.619923800420865,1
5626,fusty,7.687530923476191,1
8295,musth,7.70597845227029,1
4594,didst,7.709213138652437,1
1473,dusty,7.758834356768896,1
3626,busty,7.871746477449033,1
12693,xysti,8.242141571708588,1
7238,kydst,8.352364556028718,1
10866,soily,4.476504122975821,0
1564,shiny,4.77070582974977,0
10500,shily,4.943319270277803,0
10941,soupy,4.990753706762968,0
8210,mousy,5.1503837969705994,0
1562,noisy,5.1525818881867735,0
1665,lousy,5.16421818265067,0
99,moult,5.209841105448805,0
8526,noily,5.222932179988858,0
222,mount,5.225178110651646,0
214,point,5.225824748317056,0
9350,poult,5.248721004733642,0
10539,shoyu,5.281698632533286,0
768,spiny,5.304425154118118,0
10507,shiso,5.304425500910769,0
4295,cuish,5.317144360689627,0
10936,sough,5.370738150296694,0
4689,doilt,5.37896568499874,0
10823,snipy,5.3940881672643455,0
1019,slimy,5.463109655604958,0
10894,sonly,5.493819022464219,0
9233,pluot,5.501884951309858,0
1556,guilt,5.520423899132143,0
10909,sophy,5.522756312706756,0
571,count,5.554794974361766,0
9159,piony,5.576136748219093,0
1495,shirt,5.579238600628355,0
5522,fount,5.5873555601059275,0
10886,solum,5.622098954551805,0
10602,simul,5.63030867259588,0
10511,shiur,5.655133204237964,0
9185,pitot,5.673971165164334,0
1233,short,5.675341474568751,0
10519,shoat,5.675341474568751,0
3913,chott,5.690389787393217,0
10898,sonsy,5.694657598514217,0
426,youth,5.718529691203063,0
3431,bousy,5.722264599757869,0
7622,lossy,5.724114197051173,0
824,scion,5.727237263515606,0
1846,pouty,5.730666416570495,0
9600,quoit,5.7336669973734455,0
4690,doily,5.7420633377267905,0
10523,shogi,5.744728341592901,0
6394,hissy,5.745782318008022,0
3914,chout,5.747283684735725,0
3425,boult,5.752606482184735,0
1634,unity,5.753034940096917,0
863,sound,5.758308020305536,0
10737,slish,5.772087862608872,0
655,spoil,5.787822702135616,0
3216,biont,5.796382710382036,0
673,built,5.811310169444916,0
356,showy,5.812688071264173,0
10865,soils,5.82265141835342,0
10750,slopy,5.843403712554166,0
5443,flitt,5.851945241391102,0
10678,skimo,5.864239328001401,0
9970,roist,5.866627212599129,0
4311,cunit,5.86673547967739,0
6135,guyot,5.871639910073006,0
103,spicy,5.87230213031105,0
8527,noint,5.874715205973536,0
10043,roust,5.877787862104762,0
2257,mouth,5.878980969088582,0
177,sonic,5.880907698447291,0
6001,gouty,5.881971688898371,0
2245,mossy,5.890713093228311,0
1168,suing,5.894911228083913,0
9154,pinot,5.897157902160518,0
5898,glout,5.900385340666393,0
10944,souts,5.915396995306949,0
8547,nooit,5.91657431117528,0
9255,poilu,5.930051897588801,0
2019,spiky,5.9390818903935685,0
11038,sposh,5.943004658704827,0
880,solid,5.9560037578264575,0
517,flout,5.960179165819556,0
2253,snowy,5.96270571460098,0
11128,stoat,5.964133052040266,0
279,slosh,5.966731390373193,0
10960,soyuz,5.969345824227421,0
11210,suits,5.985746461919193,0
1413,quilt,5.98640358800125,0
9588,quint,5.988563562587117,0
11145,stots,5.98921971774228,0
10547,shuln,5.989470876686832,0
10389,seity,5.994342679743208,0
1580,clout,5.9957533135046095,0
10572,sient,6.012002197538425,0
481,saint,6.0174035458749255,0
1535,joint,6.018247785690406,0
1013,donut,6.021579393104401,0
10938,souls,6.030258907177443,0
1113,missy,6.040840388075449,0
11782,tousy,6.049026118109077,0
8721,onium,6.052533317722116,0
12798,ymolt,6.056061919923547,0
1704,suite,6.056977372136929,0
818,sushi,6.0707738531017466,0
8785,oucht,6.07436612781378,0
8784,oubit,6.076763321267299,0
9180,pissy,6.077477301473903,0
117,ought,6.079917095336433,0
7133,knout,6.092751536916232,0
3880,chino,6.094173179060815,0
120,pilot,6.110016415286191,0
9363,poynt,6.129227055129481,0
6420,hoing,6.130153840139969,0
8201,motty,6.130727333105789,0
10609,sinky,6.147443540229378,0
10529,shoon,6.154589325463241,0
10510,shits,6.1546586427879735,0
10744,sloid,6.16137939738647,0
11299,swoun,6.163577290312565,0
10509,shite,6.168644656773988,0
10824,snirt,6.170659209433562,0
11325,sysop,6.2085573917275,0
11025,spirt,6.208736662629505,0
11057,spumy,6.209554327166809,0
6499,hotty,6.214645770356833,0
4901,duomi,6.235945509625462,0
10877,soldi,6.236134916319948,0
1546,smoky,6.244242501821458,0
8169,mopsy,6.251007773340835,0
473,doubt,6.2514904393919775,0
10525,shoji,6.252122118266285,0
10732,slily,6.252707998722687,0
10841,snush,6.254631661178083,0
803,sport,6.263960858281688,0
9352,poupt,6.266134642921464,0
5524,fouth,6.266882191851889,0
12834,yourt,6.268427342273073,0
10699,skosh,6.27042003188919,0
1392,snort,6.278240791251881,0
9968,roily,6.279649012028528,0
4192,couth,6.279845294532822,0
318,shown,6.280266585614944,0
10939,soums,6.282110622935215,0
10610,sinus,6.28315491146,0
1138,young,6.284298903563859,0
10961,sozin,6.286392519701197,0
3949,cissy,6.288610529281717,0
1733,bossy,6.28864584561206,0
7098,kissy,6.2919252658886515,0
10825,snits,6.298192430202685,0
2128,slink,6.310760116252075,0
1470,slush,6.312197371060233,0
10796,smush,6.3139477210448645,0
10171,saith,6.315634516974363,0
10836,snots,6.326651947501857,0
1411,hussy,6.329385793155038,0
9234,pluto,6.329522590190762,0
10310,scoup,6.331251140888383,0
4573,dhoti,6.333591685427708,0
10738,slits,6.33490366613797,0
10499,shill,6.338329151903588,0
10896,sonny,6.3442494209148315,0
10502,shins,6.349856640179164,0
997,glint,6.349887505269147,0
875,silky,6.351554756244263,0
12835,youse,6.355299813860024,0
11216,sulfo,6.358803947051752,0
3995,clint,6.360016779349078,0
1310,swish,6.36079756365314,0
10535,shots,6.361856517560592,0
2270,shine,6.363842654165178,0
11177,sturt,6.368135397872863,0
11149,stour,6.372699322917343,0
563,opium,6.372793632976546,0
10940,soups,6.375011934031708,0
386,pinto,6.378136022322244,0
6473,hooty,6.3804725611378865,0
1430,phony,6.384736132709661,0
10887,solus,6.384920910993706,0
8677,ohing,6.38650792294492,0
9586,quino,6.400211703627621,0
6009,goyim,6.400546272020216,0
1992,sling,6.400777572897679,0
325,story,6.4008495559404714,0
8158,moony,6.404027998006465,0
9343,potty,6.409680604362264,0
10856,sodic,6.4099995900908615,0
10534,shote,6.4104265601305706,0
11023,spink,6.419317362775505,0
10309,scoug,6.420118703166216,0
