,Word,ExpectedEntropy,IsFeasible
239,robin,4.495444440307449,0
10067,rubin,4.543212817679246,0
10104,runic,4.769113631599423,0
173,rhino,4.832028823303569,0
9928,rindy,4.971111729090437,0
769,rigor,4.992728521150358,0
10085,ruing,5.038107909498359,0
9968,roily,5.0416326987287094,0
12810,yogin,5.059308418060071,0
9669,ranid,5.096067351094713,1
10108,rupia,5.173417209577721,0
7241,kylin,5.1901304962897745,0
3887,chirr,5.193767226296432,0
9988,ronin,5.209005256985988,0
155,radio,5.212100338310452,1
9648,rakia,5.230962714452703,1
2302,login,5.257972444688779,0
9639,raird,5.262467644152282,1
9808,reird,5.262467644152282,0
10069,rubli,5.301743619645025,0
10021,rosin,5.3177009091599015,0
8347,naira,5.321783362875001,1
10013,rorid,5.329054944218834,0
3586,bunia,5.346150959957798,0
8526,noily,5.3542656020351,0
9905,ridgy,5.362593847333083,0
9656,ramin,5.374643335241535,1
8586,nubia,5.379986742646631,0
8471,nidor,5.384869821760677,0
6094,guiro,5.39118869583089,0
8314,myoid,5.393005058608388,0
10063,rubai,5.393457649093809,0
10119,rutin,5.396449636806715,0
12823,yonic,5.418386531002999,0
2977,bania,5.419557534343698,0
9839,repin,5.455100276675365,0
7694,lupin,5.458561525473691,0
8233,mudir,5.4629945757938305,0
708,mania,5.479968305124039,0
12040,unbid,5.504546772772325,0
9830,renig,5.529300054438918,0
8343,naiad,5.539763239956533,0
1344,rigid,5.5569876280425765,0
12528,whirr,5.575613549827939,0
8528,noirs,5.584775644791661,0
9969,roins,5.605847238997967,0
10782,smirr,5.608042313816416,0
1279,nadir,5.631017934394936,1
9764,redia,5.636556356695369,0
1029,reign,5.650194501531274,0
8535,nomic,5.656712640727743,0
991,minor,5.658060485925005,0
5956,gonia,5.665015587730426,0
6572,hyoid,5.6759205403193524,0
1164,build,5.679069007456873,0
6654,indri,5.6796501940464585,0
9710,ravin,5.681365752518474,1
7898,mbira,5.691670630702716,0
4613,dinar,5.692038351538068,0
12832,yourn,5.699605146171601,0
9902,ricin,5.701973045368518,0
555,rainy,5.707838202208039,1
12071,unlid,5.70843005056097,0
2937,bairn,5.7099687688524465,1
10076,rudie,5.711833763661866,0
10077,rudis,5.711833763661866,0
1502,blind,5.714313813636395,0
8111,moira,5.718043267921807,0
2614,amnia,5.721550506093415,0
8506,nitry,5.729085516971451,0
772,rabid,5.7305763061135755,1
9745,rebid,5.7305763061135755,0
9916,rigol,5.749955467500345,0
9256,poind,5.752176026052878,0
4080,colin,5.760060956780599,0
3433,bovid,5.760406930049214,0
7501,lindy,5.763678185629103,0
3300,bluid,5.763876027031844,0
9538,pyoid,5.7641850558229955,0
12004,ulmin,5.765749807618667,0
8036,minar,5.780861443013735,0
6009,goyim,5.781601983128588,0
3277,bliny,5.787847347662767,0
7361,layin,5.805320699469289,0
3340,boing,5.810800312823623,0
10686,skirr,5.812401690716114,0
2188,rapid,5.813672945462719,1
7644,loury,5.8157643121232585,0
9950,riyal,5.81658224074545,0
8141,monic,5.819543618894549,0
90,round,5.824798458755481,0
9981,roman,5.828117677455419,0
2197,rider,5.82962999166995,0
5957,gonif,5.832484907134194,0
10504,shirr,5.832615579310767,0
3176,bidon,5.838849243904945,0
6668,inorb,5.839205249428577,0
4568,dhikr,5.8401240472388265,0
3211,bingy,5.845349427401234,0
793,doing,5.8495375518535075,0
9836,reoil,5.856762533808608,0
10086,ruins,5.8646673686831035,0
9666,rangi,5.867764440920825,1
10012,roric,5.870873316789555,0
4112,conia,5.870956989148249,0
7250,laari,5.878860947337696,1
302,royal,5.878946936461957,0
9966,roids,5.879399618281761,0
7298,lanai,5.886381842199206,0
7461,lidar,5.887652708505448,0
1030,dairy,5.889955649607986,1
4066,coign,5.890128751460929,0
8348,nairu,5.908292599248408,1
7456,libri,5.911841699851766,0
59,ivory,5.911925776842122,0
393,hydro,5.913451028803444,0
7083,kindy,5.914047751920315,0
4697,dolia,5.932484895469417,0
4403,danio,5.932768569060976,0
7507,lingy,5.934858673680566,0
3886,chiro,5.9376829660486905,0
9906,ridic,5.9431781124912355,0
1196,radar,5.943268321847145,1
9967,roils,5.94597599612184,0
1329,cumin,5.94639370119862,0
8228,mucin,5.94639370119862,0
6503,houri,5.958360812456103,0
8024,milor,5.963193966141762,0
3341,boink,5.963496113390435,0
12824,yonis,5.966907768735833,0
9766,redip,5.968298624692965,0
4882,dulia,5.968405170398213,0
8044,mingy,5.970325055805843,0
12066,unkid,5.971798166426759,0
7278,lairy,5.973309088150261,1
1823,dingy,5.976869306925526,0
7571,logia,5.978204756649846,0
483,glory,5.978244389185683,0
8505,nitro,5.992062027072294,0
7673,ludic,5.998610289283024,0
8721,onium,6.002112264436157,0
1993,rumor,6.002573315740127,0
109,guild,6.0034008262720695,0
12809,yogic,6.00621886582778,0
1796,lucid,6.006390588031456,0
7690,lungi,6.010016545227445,0
9771,redry,6.01962218845663,0
5333,fibro,6.025438232101055,0
3429,bourn,6.026213089459269,0
7276,laird,6.026237273495683,1
4874,duing,6.032889707966771,0
3273,blimy,6.033913464292782,0
7987,mhorr,6.034218712687505,0
7730,lysin,6.036245835315339,0
195,unify,6.043812234912241,0
3884,chirl,6.0507683461622115,0
6684,iodin,6.051717936294832,0
2642,anima,6.0572810269798145,0
4620,dinky,6.068673431150563,0
1428,radii,6.073151014000084,1
4690,doily,6.082336006284252,0
1648,begin,6.082717194137357,0
8099,modii,6.084164274593282,0
7510,linky,6.084362085469621,0
819,dying,6.084606434841304,0
2680,apian,6.086655379948683,0
9712,rawin,6.089712559932681,1
9873,rewin,6.089712559932681,0
9255,poilu,6.0970173392427975,0
92,lying,6.098133473499525,0
9976,rolag,6.101135144217634,0
7252,labia,6.103515696980017,0
8227,mucid,6.105042687630825,0
7167,koori,6.107478863356275,0
135,briar,6.1078428049847835,0
9956,roary,6.109450907566307,0
12044,uncia,6.112278114659947,0
8459,ngaio,6.114379520468519,0
9964,roguy,6.116469868969523,0
8000,midgy,6.117345511657791,0
4195,covin,6.119796070556681,0
7295,lamia,6.124352842475598,0
12888,zayin,6.125743104042279,0
12707,yaird,6.128723620544334,1
1686,cairn,6.134115446992253,1
9632,raias,6.134926347693765,0
9640,raita,6.134926347693765,0
1341,logic,6.13782491514396,0
6900,kadai,6.139121689478268,0
8591,nudie,6.140483803343338,0
719,lunar,6.141043769746877,0
3528,bruin,6.142206919387964,0
9972,rojis,6.150419456023993,0
1970,avian,6.1509136219132765,0
3366,bonie,6.155086262350103,0
1415,bingo,6.162563160584856,0
1562,noisy,6.163369891200713,0
3427,bourd,6.163711341537749,0
3199,bilgy,6.164524647538902,0
1894,prior,6.167593739406956,0
7580,loirs,6.1685146268432565,0
1150,diary,6.170668137921392,0
12920,zingy,6.172219249063276,0
3274,bling,6.172567978966676,0
918,choir,6.172955534520749,0
9924,rimer,6.173369694320324,0
9831,renin,6.173657042848454,0
4706,domic,6.183235798589148,0
4025,cnida,6.187841811344843,0
5376,fiord,6.194539538706076,0
9883,rhine,6.197793489895326,0
9806,reink,6.199758155377696,0
3323,bodhi,6.202686176638419,0
10061,rozit,6.203332072445101,0
2222,gourd,6.203363623000329,0
1318,lingo,6.206388403575397,0
8278,murri,6.207490703289567,0
7542,livor,6.2109017130719275,0
9247,podia,6.2113993948001704,0
6145,gynie,6.216736867080309,0
8850,padri,6.21719598385126,1
3275,blini,6.220378565947079,0
5594,fugio,6.222324942496275,0
6638,impro,6.2223686246986185,0
8038,mincy,6.23088181958292,0
7683,lumbi,6.2312474850713535,0
8397,nazir,6.231382427876421,1
3208,biner,6.232043016314365,0
5451,flory,6.236565807309479,0
12061,unica,6.2403232219218525,0
9616,radon,6.241424893742919,1
9768,redon,6.241424893742919,0
733,inlay,6.243170341674777,0
3605,burin,6.248025805186981,0
2616,amnio,6.24902866164032,0
3883,chirk,6.251286428557722,0
2364,acari,6.252248994841024,0
9356,powin,6.253760216081301,0
12097,updry,6.258751972710393,0
9670,ranis,6.260613564587585,0
3889,chiru,6.263277156069272,0
8655,odium,6.267493149528872,0
8536,nomoi,6.268374087219087,0
682,humid,6.270536104221428,0
3880,chino,6.271483827970538,0
2208,relic,6.271772878507793,0
9599,quoin,6.2729713531976135,0
8790,oundy,6.276226375820841,0
2289,rayon,6.278202597264838,1
6454,hongi,6.28499149421973,0
12158,vairy,6.285732639178518,1
3709,canid,6.287212965137819,0
4694,dolci,6.287542232541379,0
10049,rowan,6.288369549263734,0
7521,lipin,6.288417987861524,0
1023,dingo,6.289698460871898,0
10042,roupy,6.290155515401907,0
5482,folia,6.292513884251116,0
1505,again,6.292784833539637,0
6420,hoing,6.293684256100965,0
8677,ohing,6.293684256100965,0
5006,eldin,6.295867237710088,0
8525,noils,6.297054315141726,0
631,fairy,6.298439997074937,1
7478,likin,6.298937428062046,0
2147,union,6.2991862135750525,0
1553,riper,6.300112664336375,0
259,mourn,6.300624821253565,0
9803,reify,6.303919702780406,0
10055,rownd,6.305024539779145,0
1566,resin,6.306968591832045,0
1586,liner,6.309133783542791,0
12922,zinky,6.30979961630795,0
9305,poori,6.311466308149427,0
3885,chirm,6.312685017132589,0
7455,libra,6.31546124971532,0
1339,deign,6.315517574102788,0
8668,oggin,6.316294216555599,0
2585,amain,6.326708897840233,0
1275,micro,6.33224734559538,0
10094,rumly,6.333420741846201,0
9467,pugil,6.333629002883562,0
7138,knurr,6.343155404501074,0
2213,chirp,6.344653931000541,0
8566,nould,6.346695572171889,0
5681,gamin,6.348758393523509,0
7488,limby,6.349041198020059,0
1653,admin,6.349100549390026,0
326,hairy,6.3531055608025415,1
8740,oping,6.354296085567448,0
6115,guqin,6.357376678604185,0
749,blink,6.359529945426972,0
2187,whirl,6.362085747081665,0
498,vigor,6.36529318936961,0
4941,dykon,6.365653286194054,0
8518,nodal,6.3671042529055395,0
6650,india,6.369483319451964,0
11026,spiry,6.3723245981524625,0
7306,lapin,6.3737264502132245,0
7285,lakin,6.374295612919534,0
9919,riley,6.375795612834224,0
4901,duomi,6.376175524823572,0
8112,moire,6.378919499748163,0
3674,caird,6.379323230038926,1
9980,romal,6.3797365031376465,0
142,groin,6.384388374234843,0
8142,monie,6.386689978488289,0
7872,mauri,6.387317621765211,1
8319,mysid,6.39175600983393,0
4113,conin,6.392078637940867,0
7552,lobar,6.394703872576562,0
572,incur,6.396763025324795,0
9927,rinds,6.400249304574917,0
4038,cobia,6.403263113041647,0
989,child,6.403597113637397,0
5463,flurr,6.4038936862496305,0
1904,pinky,6.409832352967256,0
1454,nomad,6.410111130778484,0
12060,unhip,6.41144138801755,0
8133,monad,6.414619488644966,0
1118,mafia,6.41544858349179,0
8674,ogmic,6.422544508103498,0
754,juicy,6.423418051319805,0
4669,dobra,6.425618029526144,0
4618,dinic,6.428304812869841,0
3188,bigly,6.431284300730195,0
8553,noria,6.431559124779646,0
12971,zymic,6.432741957106168,0
4294,cuing,6.435203482075215,0
12916,zincy,6.435351082638994,0
658,diner,6.436629536701971,0
2119,pubic,6.441233095576789,0
10020,roshi,6.442032769790236,0
9607,rabic,6.4429233631560745,1
3039,bavin,6.443826160567053,0
8468,nidal,6.445142030555962,0
511,denim,6.446886390076719,0
9459,pudic,6.447179060204,0
7658,lowry,6.4471790897912795,0
7274,laika,6.4473550974493765,0
2604,amiga,6.448812966154422,0
116,dowry,6.451814312765999,0
3252,blain,6.453923776799709,0
4895,dungy,6.454795991277068,0
1453,vying,6.455952233292762,0
2252,ripen,6.456917237351815,0
9665,ranga,6.4580931411289955,1
844,fluid,6.4592057111524,0
6625,imbar,6.459805860172457,0
9898,ricer,6.460373681524936,0
9765,redid,6.465550317663239,0
6385,hinky,6.466671994280315,0
1070,third,6.466886159803696,0
8243,muirs,6.467135208169153,0
