,Word,Letter1,Letter2,Letter3,Letter4,Letter5,IsFeasible,ExpectedEntropy
9320,porin,-2.2444654901241163,0.0,-3.3228919919468187,-2.7095804460907016,-2.5086587718519526,0,-10.785596700013588
6155,gyron,-2.2618390458221582,0.0,-3.1187926211420285,-2.295942481113414,-2.75480657031807,0,-10.43138071839567
8038,mincy,-2.7930710269953303,0.0,-2.4606643171607745,-2.4521269450028917,-2.535889620204842,0,-10.241751909363838
4163,corni,-2.1271650137338747,0.0,-2.865845187959907,-2.92285252042891,-2.311090545072128,0,-10.22695326719482
991,minor,-2.2005191038009624,0.0,-3.297756238304245,-2.458683385735699,-2.2555666753005448,0,-10.212525403141452
98,corny,-2.322583503481952,0.0,-2.6753670195097277,-2.3761553541806655,-2.7056230427252177,0,-10.079728919897564
5839,giron,-2.0519754274565276,0.0,-3.176914950871403,-2.6217436734083512,-2.2060069658378896,0,-10.056641017574172
9928,rindy,-2.258298462063606,0.0,-2.945151605541401,-2.3057207182664095,-2.5445257303604496,0,-10.053696516231867
8057,mirky,-2.951570972916691,0.0,-2.5516554458097516,-2.2377584848440617,-2.2611796005001854,0,-10.00216450407069
239,robin,-2.205229030549578,0.0,-2.8328235994956956,-2.6086994600878106,-2.3273970766191394,0,-9.974149166752223
3605,burin,-2.2539470613148556,0.0,-3.38550739316952,-2.379618893665091,-1.902595148785842,0,-9.92166849693531
8141,monic,-2.3559433663268137,0.0,-2.5179831416478344,-2.720858713498078,-2.1634421849756067,0,-9.758227406448333
4153,corby,-2.8060715947404953,0.0,-2.198898569653767,-2.331658595114067,-2.384308120348273,0,-9.720936879856602
8177,moria,-2.041830463012674,0.0,-2.4182999859806724,-2.3537697437449263,-2.8854862910116674,0,-9.69938648374994
9514,purin,-2.153624327682187,0.0,-3.4891978809081734,-2.149905507063535,-1.8820236254660672,0,-9.674751341119961
8044,mingy,-2.74304549797095,0.0,-2.448101930425709,-2.228078555421745,-2.2420585758296103,0,-9.661284559648015
7093,kirby,-2.74492001323395,0.0,-2.379834615037718,-2.32762274671538,-2.1865027870454616,0,-9.63888016203251
5987,gormy,-2.7201188593300114,0.0,-2.4572387658975035,-2.2384186022102375,-2.222084273475491,0,-9.637860500913243
4332,curny,-2.4382286867712097,0.0,-2.982836131011146,-1.9233767214399866,-2.2888083223651887,0,-9.633249861587531
4158,corgi,-2.4915760663415383,0.0,-2.3441046004810926,-2.875614039413662,-1.8890041435909328,0,-9.600298849827226
