,Word,Letter1,Letter2,Letter3,Letter4,Letter5,IsFeasible,ExpectedEntropy
10385,seine,-2.603061269891251,-2.630772085570519,-2.9467797794286876,-2.967687372362216,-2.9526893094319835,1,-14.100989816684656
10387,seise,-2.7697966044522264,-2.366087985907994,-3.074448450787433,-2.6774525189979794,-2.5161685281870025,1,-13.403954088332634
1741,sense,-2.9290528301594936,-2.2198616450456994,-2.6168595477846415,-2.5262899083754053,-2.5434954561267076,1,-12.835559387491948
10432,serin,-2.6722700579373413,-2.4906011313165073,-2.6274254154413463,-2.9431274961356597,-1.719732702649321,1,-12.453156803480175
10897,sonse,-2.869919198115633,-1.8350039571749337,-2.423385535294993,-2.707928383275467,-2.577894447079019,1,-12.414131520940046
2251,snore,-2.593766311924763,-1.9002454016806598,-2.386231189431915,-2.8133445796253826,-2.697332413768073,1,-12.390919896430793
1980,reuse,-2.140912612817763,-2.5631468017337173,-2.44459527294317,-2.776396811433586,-2.3698760567569552,1,-12.294927555685192
10402,semie,-2.634619843903785,-2.1126871019467877,-2.20268410222238,-2.3011143042401248,-2.902042846994919,1,-12.153148199307996
1302,spire,-2.677668596269958,-1.6432741259343513,-2.2512864538219852,-2.9137495659464396,-2.6093991371694623,1,-12.095377879142195
10430,serge,-2.823989559775377,-2.122346366668189,-2.3276650952987454,-2.307503587301429,-2.5043502756066713,1,-12.085854884650413
1005,spore,-2.723260456773283,-2.165770416418911,-2.182248744455557,-2.5422485591359814,-2.442327817814494,1,-12.055855994598227
10434,seron,-2.69595679579816,-2.7518254193730014,-2.4232070593580537,-2.5231294164408427,-1.6152009078424352,1,-12.009319598812493
9058,perse,-2.2163118531849024,-2.5472199550695205,-2.142161872835507,-2.6461094110897854,-2.398057050850255,1,-11.949860143029971
9012,peise,-2.0132913767547,-2.598580358871656,-2.1988972767738377,-2.5826131241929815,-2.5490197885854355,1,-11.942401925178611
10489,shere,-2.5601761131261354,-2.4720139371473864,-2.139325294616612,-2.160509893814642,-2.5242511048523575,1,-11.856276343557134
8182,morse,-2.2765038675089526,-2.0141526894420365,-2.084044564430658,-2.7701029451492767,-2.671464390954353,1,-11.816268457485277
1989,noise,-1.907166721607182,-2.0538420358444833,-2.278083286896268,-2.8812023997873917,-2.695217713193232,1,-11.815512157328557
7958,merse,-2.1298908751040013,-2.126996946847287,-2.065336552867732,-2.7013692525824324,-2.7028002593864064,1,-11.72639388678786
887,rouse,-2.10763989824901,-2.240931734049055,-2.225257139489655,-2.868004953658209,-2.27400309419343,1,-11.71583681963936
199,siege,-2.4591364479009115,-2.0614460852272836,-2.4317544492324465,-2.1898476479525364,-2.4681457930742585,1,-11.610330423387436
9392,prese,-2.152477762707272,-2.558428840809178,-2.0340059518384748,-2.524064682467087,-2.3195907845057238,1,-11.588568022327737
10943,souse,-2.6373635356259846,-1.962874091622106,-2.386419938274293,-2.447792128346816,-2.127118368674098,1,-11.561568062543298
