,Word,Letter1,Letter2,Letter3,Letter4,Letter5,IsFeasible,ExpectedEntropy
212,shire,0.0,-2.0078587585566985,0.0,0.0,0.0,1,-2.0078587585566985
11287,swire,0.0,-2.0078587585566985,0.0,0.0,0.0,1,-2.0078587585566985
3,humph,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
4,awake,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
5,blush,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
10,heath,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
11,dwarf,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
17,bench,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
21,death,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
22,fresh,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
32,helix,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
37,whelp,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
38,trawl,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
42,sower,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
53,flesh,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
55,forth,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
72,swirl,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
78,wooer,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
80,shrub,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
113,hatch,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
114,hyper,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
115,thumb,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
116,dowry,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
117,ought,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
118,belch,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
119,dutch,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
121,tweed,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
127,growl,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
132,world,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
141,duchy,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
148,pithy,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
150,chill,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
151,heron,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
157,perch,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
158,retch,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
159,wrote,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
166,cheat,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
169,usher,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
170,epoch,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
173,rhino,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
181,peach,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
182,champ,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
188,weary,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
217,wince,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
221,whack,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
225,wrung,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
226,light,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
227,those,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
229,shard,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
235,humor,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
244,shake,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
247,swill,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
249,other,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
250,thorn,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
255,chant,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
256,choke,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
260,ahead,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
262,cloth,0.0,-2.0078587585566985,0.0,0.0,0.0,0,-2.0078587585566985
