,Word,Letter1,Letter2,Letter3,Letter4,Letter5,IsFeasible,ExpectedEntropy
11312,sylva,0.0,-2.1801323346766703,0.0,-2.023748355639664,-0.9217636352551167,1,-5.12564432557145
11030,splay,0.0,-1.6216968446911377,0.0,-1.2443292280163323,-0.9217636352551167,1,-3.787789707962587
211,solar,0.0,-0.8524833686282992,0.0,-0.950142348821329,-1.7057584375624029,1,-3.508384155012031
10873,solah,0.0,-0.8524833686282992,0.0,-0.950142348821329,-1.7057584375624029,1,-3.508384155012031
10874,solan,0.0,-0.8524833686282992,0.0,-0.950142348821329,-1.7057584375624029,1,-3.508384155012031
10596,silva,0.0,-1.2740393407829107,0.0,-2.023748355639664,0.0017409830671492397,1,-3.296046713355425
11215,sulfa,0.0,-0.715603850797378,0.0,-2.023748355639664,0.0017409830671492397,1,-2.7376112233698926
452,irony,0.0,-2.1801323346766703,0.0,-2.023748355639664,-2.274924911105587,0,-6.478805601421921
12104,upran,0.0,-1.6216968446911377,0.0,-2.023748355639664,-2.274924911105587,0,-5.920370111436388
59,ivory,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
195,unify,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
297,foray,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
631,fairy,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
733,inlay,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
797,ovary,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
1184,fishy,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
1307,forty,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
1351,envoy,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
1359,fiery,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
1562,noisy,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
1634,unity,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
2052,curvy,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
3594,bunya,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
4917,duroy,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
5374,finny,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
5386,firry,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
5451,flory,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
5492,fonly,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
5501,forby,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
5508,forky,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
5571,frory,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
5574,frowy,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
6066,grovy,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
6572,hyoid,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
6706,ixnay,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
7644,loury,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
8477,niffy,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
8478,nifty,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
8526,noily,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
8570,nouny,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
8582,noyau,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
8790,oundy,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
9159,piony,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
9803,reify,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
9914,rifty,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
9950,riyal,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
9964,roguy,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
9968,roily,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
9994,roofy,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
10042,roupy,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
10108,rupia,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
11614,thuya,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
12046,uncoy,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
12068,unlay,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
12075,unpay,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
12084,unsay,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
12344,vughy,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
12724,yarfa,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
12860,yulan,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
12865,yupon,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
12867,yurta,0.0,-2.1801323346766703,0.0,-2.023748355639664,-1.7057584375624029,0,-5.909639127878736
49,pound,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
144,group,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
163,prove,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
207,favor,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
348,vouch,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
691,vapor,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
752,croup,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
1056,pouch,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
1437,flora,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
1716,proud,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
1842,proof,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
4764,douar,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
4772,doura,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
5488,fonda,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
5499,foram,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
5512,forza,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
5999,goura,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
6382,hinau,0.0,-1.6216968446911377,0.0,-2.023748355639664,-1.7057584375624029,0,-5.351203637893204
