,Word,Letter1,Letter2,Letter3,Letter4,Letter5,IsFeasible,ExpectedEntropy
11402,tanto,0.0,0.0,-1.3086796085474248,-1.6752981553118642,-1.750533530115238,1,-4.734511293974527
11358,taira,0.0,0.0,-1.6574500620894943,-1.438822338463237,-1.6199895313901016,1,-4.716261931942833
11396,tanka,0.0,0.0,-1.506575437429971,-1.5241681311498732,-1.5645589789660044,1,-4.595302547545848
1195,tarot,0.0,0.0,-1.2941823302266477,-1.6527175873273796,-1.5925758577142963,1,-4.539475775268324
11401,tanti,0.0,0.0,-1.787761764825784,-1.4971596401564313,-1.2089320077720336,1,-4.493853412754249
11403,tanty,0.0,0.0,-1.28511453361134,-1.1577503716969502,-1.852347694595082,1,-4.295212599903373
11436,tatar,0.0,0.0,-1.392513614990318,-1.1507086618254225,-1.6738564526117212,1,-4.217078729427461
11392,tanga,0.0,0.0,-1.3864542375127882,-1.5665648834207073,-1.037760358884583,1,-3.9907794798180785
11467,tayra,0.0,0.0,-0.752340426552516,-0.9656971110459774,-2.054475780466684,1,-3.7725133180651778
11416,targa,0.0,0.0,-1.3484839142029728,-1.3260934925757062,-1.0296771047667042,1,-3.704254511545383
11353,taiga,0.0,0.0,-0.9642279690164535,-1.5837519770047397,-0.9990143242823659,1,-3.546994270303559
11398,tanky,0.0,0.0,-1.132980271692522,-0.9092150082693535,-1.4396223688949983,1,-3.4818176488568735
11365,takin,0.0,0.0,-1.4272710383676541,-1.2717014618296656,-0.7445474398557721,1,-3.4435199400530916
11427,tarty,0.0,0.0,-0.7053034524142152,-0.9923054939270022,-1.681962436834606,1,-3.3795713831758234
11338,tacan,0.0,0.0,-1.247112360423609,-0.6832507618133654,-1.4303812944000087,1,-3.360744416636983
2088,tango,0.0,0.0,-0.8030259104823275,-1.5893024966113483,-0.9680797180831402,1,-3.360408125176816
2041,taint,0.0,0.0,-1.4578074036155901,-1.1926448964406733,-0.6885926959905991,1,-3.3390449960468627
11399,tanna,0.0,0.0,-1.0119216606643735,-0.8703215857412196,-1.2926541132890244,1,-3.1748973596946177
209,tangy,0.0,0.0,-0.8583927145806795,-1.0811070093644504,-1.1578572350599674,1,-3.097356959005097
11393,tangi,0.0,0.0,-1.2765822332492955,-1.3041072052547382,-0.39991785044953254,1,-2.980607288953566
11420,tarok,0.0,0.0,-0.8384297828176414,-1.16444275276255,-0.8128236897106382,1,-2.8156962252908295
11335,tabor,0.0,0.0,-0.9049211835096623,-0.7337299753086304,-1.0560886667833465,1,-2.694739825601639
11446,tauon,0.0,0.0,-0.8357029641287677,-0.8167427742374181,-0.9644571072864019,1,-2.6169028456525876
11355,taiko,0.0,0.0,-0.2127025790737999,-1.207124706914539,-0.9461244152296584,1,-2.3659517012179974
11419,taroc,0.0,0.0,-0.8853496795106123,-0.5626402308631285,-0.8710854722301727,1,-2.3190753826039137
11387,tamin,0.0,0.0,-1.2461096899424617,-0.6733309407307768,-0.3530463976233335,1,-2.272487028296572
11348,tafia,0.0,0.0,-0.4605000830607685,-0.6330505730814046,-1.00903778810382,1,-2.102588444245993
11464,taxon,0.0,0.0,-0.5131377725684688,-0.6099608495007517,-0.7652706938642266,1,-1.8883693159334471
